Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
28/11/2020,606701,13401,127577,202870,187801,6,75046
29/11/2020,494898,13077,125294,161201,153916,16,41394
30/11/2020,506188,10341,115540,161217,177924,305,40861
1/12/2020,614217,10837,122871,190606,216924,212,72767
2/12/2020,640266,16411,127193,206143,220933,182,69404
3/12/2020,690558,15642,131348,224519,243889,194,74966
4/12/2020,696405,17968,126534,223741,259912,229,68021
5/12/2020,639864,14768,123391,196527,242364,9,62805
6/12/2020,543363,13476,119612,170138,196012,8,44117
7/12/2020,534596,10634,108473,157942,216479,21,41047
8/12/2020,629852,13255,118482,185256,250124,247,62488
9/12/2020,664796,19397,118324,212855,240543,87,73590
10/12/2020,671498,19135,85320,230019,261229,139,75656
11/12/2020,705144,19079,114577,236050,262431,133,72874
12/12/2020,647950,18137,110011,211236,246431,9,62126
13/12/2020,538238,16226,99274,173811,209920,14,38993
14/12/2020,550878,11405,94482,165840,230291,140,48720
15/12/2020,648208,17987,107511,201877,250411,144,70278
16/12/2020,717310,21162,106664,241643,258168,117,89556
17/12/2020,738532,20519,101897,254377,264966,206,96567
18/12/2020,720572,19320,100483,249060,272678,97,78934
19/12/2020,634897,21268,95683,215431,228747,48,73720
20/12/2020,546950,18426,87491,185762,204775,35,50461
21/12/2020,546112,16787,79428,182507,216596,185,50609
22/12/2020,651296,19987,89945,227476,231694,91,82103
23/12/2020,681816,25747,90046,244669,245808,81,75465
24/12/2020,693271,27045,88785,259434,237510,115,80382
25/12/2020,517988,25785,86079,204133,146959,23,55009
26/12/2020,506783,21383,75865,139581,232103,27,37824
27/12/2020,412918,18675,71538,134843,152130,29,35703
28/12/2020,499138,15199,69972,168486,194275,165,51041
29/12/2020,671553,20128,81717,246376,237361,134,85837
30/12/2020,725306,30593,83781,275341,247572,91,87928
31/12/2020,839336,29789,85117,288574,341884,95,93877
1/01/2021,586282,27749,75399,235800,201397,35,45902
2/01/2021,581255,22890,70826,160449,288224,43,38823
